frame_id,rms_error_px,mean_error_px,max_error_px,point_count,include_in_final
frame-00000507-9edb1124,0.10316329566832723,0.09118011163237388,0.22767018358991026,38,True
frame-00000517-1d22ee48,0.13037623799815254,0.11694891076734512,0.2532805527783963,40,True
frame-00000551-4fe786fc,0.11960970662493131,0.10245893499227524,0.27467613331231183,40,True
frame-00000587-f4e60c88,0.1323348840655013,0.11787050902710608,0.27649886470382357,40,True
frame-00000615-20d46f71,0.10961340472583245,0.09474001783471435,0.21373337212868362,31,True
frame-00000627-222696fe,0.12235934031680185,0.10349236796366135,0.23306101785509725,38,True
frame-00000641-bcb95888,0.16457677627446343,0.15233859187025847,0.3255381481016188,36,True
frame-00000665-3dcb8274,0.14108692022907782,0.12679235720389329,0.26779291484176454,35,True
frame-00000717-b2cfcdab,0.13307347030829306,0.11706685120963002,0.25668825320144245,24,True
frame-00000727-2257d90e,0.15287471245680767,0.1355909358026288,0.3277750149764943,36,True
frame-00000750-a636a687,0.22132602566772253,0.19627606517006718,0.4792518372660305,34,True
frame-00000859-c85856ad,0.1442369571841107,0.13183354384386325,0.2697408386474281,24,True
frame-00000871-7dc7f6dc,0.16740527543647007,0.14309842013906968,0.3215636091982411,27,True
frame-00000943-a550a867,0.13909678915428392,0.12354684677766674,0.35647181712856213,40,True
frame-00002012-458d4186,0.13577000463316322,0.12037036803652688,0.3013701000554972,25,True
frame-00000099-3b378fe1,0.11783622432945207,0.10533496620055956,0.25936699877887526,40,True
frame-00000137-3f3d054e,0.11344196717897863,0.1026920677050613,0.23154789224745223,40,True
frame-00000152-347a9705,0.13797663062084045,0.12307206436447696,0.28689633789262364,33,True
frame-00000180-b95a322a,0.13278664744161206,0.11729635891281569,0.28400466877917785,39,True
frame-00000203-7a2cf323,0.17885464851430238,0.15994615584113828,0.3435371780487829,40,True
frame-00000220-01c478bd,0.14365897755007181,0.12653859406002285,0.34034018732529703,38,True
frame-00000230-536f52c8,0.154361158910013,0.135468740497896,0.3113086940871243,34,True
frame-00000257-47ed0d1e,0.18238226038730151,0.16105688116037856,0.45249098887513906,28,True
frame-00000328-e8bb25ef,0.17801794810986207,0.16107734771776516,0.37145998099505984,24,True
frame-00000373-bf22a076,0.1549047916302148,0.1356868357333757,0.3029377162122732,24,True
frame-00000431-ceb0a44e,0.0814247366359424,0.07195768917928144,0.1630671513182085,40,True
frame-00000441-4508a3e2,0.08190861998820205,0.07473673411766017,0.16324471836177493,40,True
frame-00000496-9d57bb78,0.12449602455301569,0.11282641839986066,0.25213581677091,38,True
frame-00000685-99e78ecf,0.18324837993635967,0.15704453110990393,0.4576105904520852,38,True
frame-00001916-3c3787a5,0.20180628261608244,0.17446641470730148,0.46787127544771384,36,True
