epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_mae,val_rmse,train_acc_at_0p10m,val_acc_at_0p10m,train_acc_at_0p25m,val_acc_at_0p25m,train_acc_at_0p50m,val_acc_at_0p50m,train_distance_loss,train_orientation_loss,val_distance_loss,val_orientation_loss,val_yaw_acc@10deg,val_yaw_acc@15deg,val_yaw_acc@5deg,val_yaw_mean_error_deg,val_yaw_median_error_deg,val_yaw_p95_error_deg
1,0.001,0.001,0.04480226680496267,0.8245899255852069,0.26738144429670074,0.168415781677064,0.46309882402420044,0.6473791599273682,0.8245899255852069,0.168415781677064,0.9660132792295051,0.4207682196582445,0.9939816099854166,0.6923365811930147,0.006678957840929518,0.0381233089523291,0.19169856872762533,0.07568287542994735,0.36051242462809574,0.49464833399403285,0.19076133447390933,26.01012420654297,15.243972778320312,104.54254913330078
2,0.001,0.001,0.009009200002229678,0.905573839829758,0.01942938051861487,0.5850528907342111,0.10517670959234238,0.1385708451271057,0.905573839829758,0.5850528907342111,0.9823017037418877,0.9114106282209101,0.9969555581990651,0.9985603705481024,0.003199531900144693,0.005809668099956127,0.009600939955618315,0.00982844056992867,0.7384047236537378,0.883097915666924,0.43914957541363264,7.7077155113220215,5.793975830078125,20.49321937561035
3,0.001,0.001,0.006618477154153493,0.9085081354005577,0.020287588005054796,0.7151828746687809,0.08012465387582779,0.11610473692417145,0.9085081354005577,0.7151828746687809,0.9862845914235739,0.9565816102985666,0.9977970753972975,0.9956393832543972,0.002722587130395066,0.0038958900213998185,0.006740154817517499,0.01354743317097758,0.7014542343883661,0.8426213774541509,0.4453879697051889,8.654522895812988,5.836151123046875,24.681365966796875
4,0.001,0.0005,0.005960352141404296,0.9122046428838927,0.03850225827810446,0.29266206263431327,0.18021897971630096,0.2217104732990265,0.9122046428838927,0.29266206263431327,0.9863330557648334,0.7634834859896931,0.9980922672940596,0.9727096329988107,0.002630382321884515,0.0033299698199006477,0.024574815568675506,0.013927442733047695,0.683093742827933,0.8360491560433141,0.4008429134761835,8.758179664611816,6.4547271728515625,24.04168701171875
5,0.0005,0.0005,0.004242459078243726,0.9362209269025559,0.0892348328561807,0.23685034112958753,0.2917291224002838,0.3630639910697937,0.9362209269025559,0.23685034112958753,0.9923690691762383,0.4887437668217572,0.9983478065479731,0.8112624924367293,0.0019776919755291086,0.002264767099751209,0.0659068978700487,0.023327934991869085,0.5678816582862151,0.7195643556093388,0.33616390911556676,11.97313117980957,8.266632080078125,33.75614929199219
6,0.0005,0.0005,0.0038147951432674606,0.9445303585039498,0.011139497394038531,0.628262638486094,0.09755590558052063,0.1262732893228531,0.9445303585039498,0.628262638486094,0.9935454309140815,0.9396816123849862,0.9991100184605082,0.9998539506353147,0.00157742512242231,0.002237370020247901,0.007972471355673156,0.0031670260354663164,0.9528051910117048,0.9890462976486052,0.7467504016357529,3.8769967555999756,2.819915771484375,9.818097114562988
7,0.0005,0.0005,0.003272354565592218,0.9585277414295218,0.05266187213966431,0.1692503494752655,0.26107245683670044,0.29868486523628235,0.9585277414295218,0.1692503494752655,0.9955500923025409,0.46573055978635064,0.9992113529922325,0.9660122264182437,0.0012939090045445804,0.0019784455632575193,0.04460581297497104,0.008056059135978675,0.821611133134428,0.9249723549416846,0.5699054851968537,6.1526899337768555,4.1734771728515625,17.335346221923828
8,0.0005,0.00025,0.0030750283759037114,0.9594045054213974,0.023860278109889072,0.49688080285422187,0.13282859325408936,0.17685236036777496,0.9594045054213974,0.49688080285422187,0.9964709147864705,0.8594587827828664,0.9996387203651568,0.9866260510338208,0.0011191524546557581,0.0019558759192990936,0.015638378342786634,0.008221899797648435,0.7898141000229506,0.9070500114753072,0.5330593169062572,6.657888412475586,4.5763397216796875,18.72638511657715
9,0.00025,0.00025,0.0024961997547000092,0.9726000237915857,0.013898257332381968,0.6193744914352479,0.10219521075487137,0.140597864985466,0.9726000237915857,0.6193744914352479,0.996889470460984,0.9080723570281041,0.9995594150794594,0.9992488889816187,0.00094991557148616,0.001546284180440714,0.009883880901481651,0.004014376430431537,0.9317740824970269,0.9825783972125436,0.6837822612614493,4.412506580352783,3.3170166015625,11.015820503234863
10,0.00025,0.000125,0.0023379304182943365,0.9754462023782774,0.03324624808511512,0.3271297127000355,0.19359871745109558,0.24555405974388123,0.9754462023782774,0.3271297127000355,0.9976648999211353,0.7116568257213796,0.999792925087346,0.9422687725594108,0.000819037477348682,0.001518892941623928,0.0301483976583687,0.003097850413586576,0.9514490183396274,0.9891297544284254,0.7356089215297628,3.9262280464172363,2.86309814453125,9.918722152709961
